,Text
7917,"It is relevant to note that H.V.Kumar was one of the star witnesses of this case, who is the first person to the scene of occurrence and immediately shifted the deceased and the injured / accused No.1 to the Victoria Hospital with the help of accused Nos.3 and 4."
7918,"The 3rd respondent subsequently, vide order dated 21-05-2012 under Section 41(1) of the Act has rectified the said reassessment orders by disallowing the discount given by way of credit notes by relying on the later decision rendered by another Division Bench of this court in the case of STATE OF KARNATAKA v/s M/s."
7919,"In our opinion, it is not correct."
7920,"It, therefore, follows that the amount of Rs. 57,500 which was allotted to Sulochana, also continued with the partnership firm, though Sulochna herself did not joint the firm as a partner; and the amount of Rs. 47,500 which was allotted to the assessee and his two sons each also remained in the business of the firm."
7921,"A licence may be refused to a person prohibited by the Act or by any other law from acquiring, possessing or carrying on arms and ammunition."
7922,To similar effect is the judgment of the Supreme Court in CIT v. Hero Cycles P. ltd. wherein it was held that rectification under Section 154 can only be made when a glaring mistake of fact or law committed by the officer passing the order becomes apparent from the record.
7923,"Various provisions of FSSA were notified from time to time but finally on 29th July, 2010, Section 97 of FSSA, which repealed all other food related laws, was notified."
7924,"However, it is necessary to notice here that it is not as if the lessors have got any say in the business of boarding and lodging run by defendant - Revision petitioner in the building described in the schedule to the plaint and the Lease Deed."
7925,More over the cheque in that case was one drawn on a foreign bank and the presentation to the drawee bank was not within the territory of India.
7926,"The AAC, however, gave a direction to the ITO to work out the value of the opening stock as on September 1, 1969, also at direct cost or market price basis, whichever is lower, and recompute the profits."
7927,His business stake is much more in India than outside.
7928,"The points for consideration in the Criminal Appeals are:
i) Whether the prosecution has proved the charges framed against Accused 1, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 18, 20, 21, 22 and 40?. 

ii) Whether the learned Sessions Judge was right in convicting those accused under Section 302 read with 34 IPC and imposing life imprisonment on them?;
"
7929,"That the Apex Court has recognized that where victims whose fundamental rights under Article 21 of the Constitution are flagrantly infringed, the State can be called to repair the damage done by its officers to the fundamental rights of the aggrieved person, notwithstanding the right of the citizen to the remedy by way of civil suit or criminal proceedings."
7930,"She said that her husband, Mareedu Venkatakrishna (L.W.6), figured as an accused in C.C.No.1924 of 2003 on the file of the Judicial First Class Magistrate, Sathupalli, under Section 498A IPC, registered by Kalluru Police on the complaint of A5."
7931,"When available evidence has been recorded remands or adjournments under Section 167 or 344, Code of Criminal Procedure shall be arranged as may be necessary."
7932,"

4. On 09.7.2012, after hearing the Assistant Public Prosecutor and the accused and his counsel, accused Ram Pal Singh was charged with the commission of offence punishable under section 381 of the Indian Penal Code."
7933,"Since he was not cross-examined, he was discharged by the Ld. Trial Court."
7934,"The grant made in favour of Perumal Padayachi by the Regional Transport Authority on 25.7.92 has been set aside by the State Transport Appellate Tribunal and the State Transport Appellate Tribunal has directed grant of permit in favour of the present writ petitioner by its order passed in Appeal No.13/73, while dismissing the two other Appeal Nos.15 and 32 of 1973."
7935,"Again on 26th December, 1981 objections were made to the proposal reiterating the earlier stand of the petitioners."
7936,"The joint family has altogether been done away with in the State of Kerala (vide The Kerala Joint Family Abolition Act, 1976)."
7937,"The learned Judges held that the article applicable to the case was Article 144 and for the plea of limitation to succeed, It was incumbent on the contesting defendant to prove that defendant 5 was in denial of his title excluded - from the enjoyment of his share of the suit lands."
7938,"See Parle Products (P) Ltd Vs. J.P. and Co., Mysore 1972(1) SCC 618."
7939,"In our considered opinion, the two powers are distinct and there is no indication either in the main body of the Constitution or in any of the legislative lists that taxation is comprehended in the main subject."
7940,"The Tribunal accepted that the following transactions was typical and that the characteristics obtained in the other transactions were the same: 
 "" Rs. 2,187.50 hedge loss paid to Brijlal Pannalal of Dhulia."
7941,She received MOs. in Thannithodu Station in Crime No.21 of 2005 and entered the same as TR 54/05 on 14.3.2005.
7942,"It is also pointed out by him that though the panchas and owner of Samrat Hotel have turned hostile and have not supported the prosecution, it does not waken the case of the prosecution."
7943,"It was 20.45 hours on 23.12.2009 when the Eicher Canter 1095 registration number DL­1M­2069 was crossing GT Road, Highway near Rakba Dola Majra."
7944,"In Bhagat Ram v. State of Punjab (AIR 1954 SC 621), it was laid down that where the case depends upon the conclusion drawn from circumstances the cumulative effect of the circumstances must be such as to negative the innocence of the accused and bring the offences home beyond any reasonable doubt."
7945,It is submitted that the „Board‟ cannot have a different yardstick for different category of applicants and the rule applies equally to all.
7946,The stage for relinquishing security arises when a secured creditor seeks to prove the whole of his debt in the course of winding up.
7947,There is no positive evidence whether any medical expenses will be needed to be incurred and whether the appellant would need any special nourishment.
